.497363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3668798011527925, 2.3285271190942174, -0.6871006042558452], limiar atualizado: -2.477363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3126218011527928, 2.326275119094217, -0.6830386042558451], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3117638011527928, 2.3355951190942172, -0.574392604255845], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3030838011527928, 2.3218551190942174, -0.738966604255845], limiar atualizado: -2.597363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3103918011527929, 2.3428051190942174, -0.589250604255845], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3024778011527929, 2.3406531190942172, -0.7024966042558449], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.306501801152793, 2.345875119094217, -0.593234604255845], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3354858011527928, 2.328083119094217, -0.681244604255845], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3346278011527928, 2.3374031190942173, -0.572598604255845], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3259478011527928, 2.3236631190942174, -0.737172604255845], limiar atualizado: -2.597363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3332558011527929, 2.3446131190942174, -0.5874566042558449], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3253418011527929, 2.3424611190942173, -0.7007026042558449], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.329365801152793, 2.347683119094217, -0.5914406042558449], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3583498011527928, 2.329891119094217, -0.6794506042558449], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3574918011527928, 2.3392111190942173, -0.5708046042558449], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3488118011527928, 2.3254711190942174, -0.7353786042558449], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3530998011527928, 2.3405011190942173, -0.5919806042558449], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3451858011527928, 2.338349119094217, -0.7052266042558448], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3492098011527929, 2.343571119094217, -0.5959646042558449], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3781938011527928, 2.325779119094217, -0.6839746042558449], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3773358011527927, 2.335099119094217, -0.5753286042558449], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3686558011527927, 2.3213591190942173, -0.7399026042558449], limiar atualizado: -2.597363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3759638011527928, 2.3423091190942174, -0.5901866042558448], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3680498011527928, 2.340157119094217, -0.7034326042558448], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3720738011527929, 2.345379119094217, -0.5941706042558448], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4010578011527928, 2.327587119094217, -0.6821806042558448], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4001998011527927, 2.3369071190942172, -0.5735346042558448], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.3915198011527927, 2.3231671190942174, -0.7381086042558448], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3958078011527928, 2.3381971190942172, -0.5947106042558448], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3878938011527928, 2.336045119094217, -0.7079566042558447], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3919178011527928, 2.341267119094217, -0.5986946042558448], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4209018011527927, 2.323475119094217, -0.6867046042558448], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4200438011527927, 2.332795119094217, -0.5780586042558448], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4113638011527927, 2.3190551190942172, -0.7426326042558448], limiar atualizado: -2.597363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4186718011527928, 2.3400051190942173, -0.5929166042558447], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4107578011527928, 2.337853119094217, -0.7061626042558447], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4147818011527928, 2.343075119094217, -0.5969006042558447], limiar atualizado: -2.617363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.4437658011527927, 2.325283119094217, -0.6849106042558447], limiar atualizado: -2.597363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.4429078011527927, 2.334603119094217, -0.5762646042558447], limiar atualizado: -2.617363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.4342278011527927, 2.3208631190942173, -0.7408386042558447], limiar atualizado: -2.597363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.4385158011527928, 2.335893119094217, -0.5974406042558447], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4306018011527928, 2.333741119094217, -0.7106866042558446], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4346258011527928, 2.338963119094217, -0.6014246042558447], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4267118011527928, 2.3368111190942167, -0.7146706042558446], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4307358011527929, 2.3420331190942165, -0.6054086042558446], limiar atualizado: -2.617363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4228218011527929, 2.3398811190942164, -0.7186546042558446], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.426845801152793, 2.345103119094216, -0.6093926042558446], limiar atualizado: -2.617363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.386547801152793, 2.3327191190942163, -0.8279186042558446], limiar atualizado: -2.597363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.390571801152793, 2.337941119094216, -0.7186566042558447], limiar atualizado: -2.617363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.389713801152793, 2.3472611190942163, -0.6100106042558446], limiar atualizado: -2.637363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.349415801152793, 2.3348771190942164, -0.8285366042558446], limiar atualizado: -2.617363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.353439801152793, 2.340099119094216, -0.7192746042558447], limiar atualizado: -2.637363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.352581801152793, 2.3494191190942164, -0.6106286042558446], limiar atualizado: -2.657363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.312283801152793, 2.3370351190942165, -0.8291546042558446], limiar atualizado: -2.637363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3163078011527931, 2.3422571190942163, -0.7198926042558447], limiar atualizado: -2.657363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.315449801152793, 2.3515771190942165, -0.6112466042558446], limiar atualizado: -2.677363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.2751518011527931, 2.3391931190942166, -0.8297726042558446], limiar atualizado: -2.657363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2791758011527932, 2.3444151190942164, -0.7205106042558447], limiar atualizado: -2.677363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2783178011527931, 2.3537351190942166, -0.6118646042558447], limiar atualizado: -2.697363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.2380198011527932, 2.3413511190942167, -0.8303906042558447], limiar atualizado: -2.677363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2420438011527932, 2.3465731190942165, -0.7211286042558447], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.2411858011527932, 2.3558931190942167, -0.6124826042558447], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.270169801152793, 2.3381011190942167, -0.7004926042558447], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.269311801152793, 2.347421119094217, -0.5918466042558447], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.260631801152793, 2.333681119094217, -0.7564206042558447], limiar atualizado: -2.697363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.2679398011527931, 2.354631119094217, -0.6067046042558446], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.2600258011527932, 2.352479119094217, -0.7199506042558446], limiar atualizado: -2.697363535121879
Erro na linha 27: y=-1, d=1.0, pesos atualizados: [1.3089898011527932, 2.371389119094217, -0.49576060425584456], limiar atualizado: -2.717363535121879
Erro na linha 28: y=1, d=-1.0, pesos atualizados: [1.2686918011527932, 2.359005119094217, -0.7142866042558446], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2727158011527933, 2.364227119094217, -0.6050246042558446], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3016998011527932, 2.3464351190942168, -0.6930346042558446], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.3008418011527931, 2.355755119094217, -0.5843886042558446], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.292161801152793, 2.342015119094217, -0.7489626042558446], limiar atualizado: -2.697363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.2964498011527932, 2.357045119094217, -0.6055646042558446], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.2885358011527932, 2.354893119094217, -0.7188106042558445], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.2925598011527932, 2.3601151190942167, -0.6095486042558446], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3215438011527931, 2.3423231190942166, -0.6975586042558446], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.320685801152793, 2.351643119094217, -0.5889126042558446], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.312005801152793, 2.337903119094217, -0.7534866042558446], limiar atualizado: -2.697363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3193138011527932, 2.358853119094217, -0.6037706042558446], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3113998011527932, 2.356701119094217, -0.7170166042558446], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3154238011527932, 2.3619231190942167, -0.6077546042558446], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.3444078011527931, 2.3441311190942167, -0.6957646042558446], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.343549801152793, 2.353451119094217, -0.5871186042558446], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.334869801152793, 2.339711119094217, -0.7516926042558446], limiar atualizado: -2.697363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3391578011527931, 2.354741119094217, -0.6082946042558446], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3312438011527932, 2.3525891190942168, -0.7215406042558445], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3352678011527932, 2.3578111190942166, -0.6122786042558446], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.364251801152793, 2.3400191190942166, -0.7002886042558446], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.363393801152793, 2.3493391190942168, -0.5916426042558446], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.354713801152793, 2.335599119094217, -0.7562166042558446], limiar atualizado: -2.697363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.3620218011527931, 2.356549119094217, -0.6065006042558445], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3541078011527932, 2.354397119094217, -0.7197466042558445], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3581318011527932, 2.3596191190942166, -0.6104846042558445], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.387115801152793, 2.3418271190942166, -0.6984946042558445], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.386257801152793, 2.351147119094217, -0.5898486042558445], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.377577801152793, 2.337407119094217, -0.7544226042558445], limiar atualizado: -2.697363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.3818658011527931, 2.352437119094217, -0.6110246042558445], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3739518011527931, 2.3502851190942167, -0.7242706042558444], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.3779758011527932, 2.3555071190942165, -0.6150086042558445], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.406959801152793, 2.3377151190942165, -0.7030186042558445], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.406101801152793, 2.3470351190942167, -0.5943726042558445], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.397421801152793, 2.333295119094217, -0.7589466042558445], limiar atualizado: -2.697363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.4047298011527931, 2.354245119094217, -0.6092306042558444], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.3968158011527931, 2.3520931190942167, -0.7224766042558444], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4008398011527932, 2.3573151190942165, -0.6132146042558444], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.429823801152793, 2.3395231190942165, -0.7012246042558444], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.428965801152793, 2.3488431190942167, -0.5925786042558444], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.420285801152793, 2.335103119094217, -0.7571526042558444], limiar atualizado: -2.697363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.427593801152793, 2.356053119094217, -0.6074366042558443], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4196798011527931, 2.3539011190942167, -0.7206826042558443], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4237038011527932, 2.3591231190942166, -0.6114206042558443], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.452687801152793, 2.3413311190942165, -0.6994306042558444], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.451829801152793, 2.3506511190942168, -0.5907846042558443], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.443149801152793, 2.336911119094217, -0.7553586042558443], limiar atualizado: -2.697363535121879
Erro na linha 17: y=-1, d=1.0, pesos atualizados: [1.447437801152793, 2.3519411190942168, -0.6119606042558443], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.439523801152793, 2.3497891190942166, -0.7252066042558443], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4435478011527931, 2.3550111190942165, -0.6159446042558443], limiar atualizado: -2.717363535121879
Erro na linha 1: y=1, d=-1.0, pesos atualizados: [1.472531801152793, 2.3372191190942164, -0.7039546042558443], limiar atualizado: -2.697363535121879
Erro na linha 9: y=-1, d=1.0, pesos atualizados: [1.471673801152793, 2.3465391190942166, -0.5953086042558443], limiar atualizado: -2.717363535121879
Erro na linha 10: y=1, d=-1.0, pesos atualizados: [1.462993801152793, 2.3327991190942168, -0.7598826042558443], limiar atualizado: -2.697363535121879
Erro na linha 16: y=-1, d=1.0, pesos atualizados: [1.470301801152793, 2.353749119094217, -0.6101666042558442], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.462387801152793, 2.3515971190942166, -0.7234126042558442], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4664118011527931, 2.3568191190942165, -0.6141506042558442], limiar atualizado: -2.717363535121879
Erro na linha 25: y=1, d=-1.0, pesos atualizados: [1.4584978011527931, 2.3546671190942163, -0.7273966042558442], limiar atualizado: -2.697363535121879
Erro na linha 29: y=-1, d=1.0, pesos atualizados: [1.4625218011527932, 2.359889119094216, -0.6181346042558442], limiar atualizado: -2.717363535121879
